user_id,cooking_fun_initial,cooking_creativity_initial,food_waste_initial,money_spent_initial,time_spent_initial,new_things_to_eat_make_initial,cooking_fun_final,cooking_creativity_final,food_waste_final,money_spent_final,time_spent_final,new_things_to_eat_make_final
1,5.939321535345923,4.184371293153768,5.072634592918281,648.4272735292608,5.987738676202352,9.210846350852936,8.077477288070456,7.113431198361406,3.5001178691136134,518.7418188234086,6.586512543822588,13.355727208736758
2,7.436704297351775,4.404410353946194,9.742920174438558,295.9522114447742,3.8754301811942344,7.229032191210284,10.113917844398415,7.487497601708529,6.722614920362604,236.76176915581937,4.262973199313659,10.482096677254912
3,6.4248703846447945,6.920759203537854,5.8746970976934065,526.6500902792638,5.623202948735341,4.1708695730060255,8.737823723116922,11.765290646014352,4.05354099740845,421.3200722234111,6.185523243608875,6.047760880858736
4,5.903948646972072,4.23507835919487,1.224510668302991,700.8580619958864,6.291189087202631,6.511004431653458,8.029370159882019,7.199633210631279,0.8449123611290636,560.6864495967092,6.920307995922895,9.440956425897513
5,4.812893194050142,9.103307064438031,4.738305701721452,275.78577013581594,6.455730408483343,5.0983904975080705,6.545534743908194,15.475622009544653,3.2694309341878016,220.62861610865275,7.101303449331678,7.392666221386702
6,6.813047017599905,9.849473785451398,7.200091966478624,758.9546160675181,9.46688686024455,8.12827755050633,9.26574394393587,16.744105435267375,4.96806345687025,607.1636928540146,10.413575546269005,11.786002448234177
7,4.9382849013642325,1.273838638033053,3.1086248162484234,787.44181354383,3.1118429773027945,1.0670461986713646,6.716067465855357,2.16552568465619,2.144951123211412,629.953450835064,3.4230272750330744,1.5472169880734787
8,9.025957007038718,2.7426096136224682,7.2876695576334285,570.2764221257844,9.082767639069653,6.270089605725415,12.275301529572657,4.662436343158196,5.028491994767065,456.22113770062754,9.99104440297662,9.091629928301852
9,9.672964844509263,2.010249933286474,5.533275746633646,872.9211155482398,1.461777956498024,1.2114226104237362,13.1552321885326,3.4174248865870056,3.8179602651772155,698.3368924385918,1.6079557521478265,1.7565627851144174
10,4.450973669431999,1.3812764238229893,1.2316399802480378,302.2658542817477,1.2734455520114563,9.814009564605525,6.053324190427519,2.348169920499082,0.849831586371146,241.81268342539818,1.400790107212602,14.230313868678012
11,8.12552534274398,3.0496689401255783,7.969176545321852,583.9637442284888,1.9789126277169893,5.567792873702905,11.050714466131813,5.184437198213483,5.498731816272077,467.1709953827911,2.176803890488688,8.073299666869213
